n,gamma,beta_partial,energy_mean_partial,Jminus1_over_gamma
423,711.1302741796854,0.02877567580706087,0.022026577831666463,0.09262579996092868
424,711.9002899143753,0.02877724258114304,0.022027736680198095,0.09308330646021674
425,712.7493834701013,0.02877795145290438,0.0220282604444746,0.09322504102186104
426,714.0827718206694,0.028778055279465097,0.022028337035588742,0.09308803470343557
427,716.1123964540521,0.02877811803450883,0.022028383259773125,0.09284667198466952
428,717.4825697031002,0.028778277710252063,0.02202850088223984,0.09272664542023737
429,718.7427865454858,0.02877864137383977,0.022028768996250263,0.09269475232590974
430,719.6971009883657,0.028778958789664258,0.02202900325043304,0.09268606126778856
431,721.3511622185364,0.028779274660810733,0.022029236835740217,0.09258745880592627
432,722.2775049756742,0.028779594271104138,0.022029473422410222,0.09258413630615273
433,723.8458210451284,0.02877990251511626,0.02202970182658418,0.09249510008332816
434,724.5626138903791,0.028780081810030382,0.022029834692720376,0.09246855207117075
435,727.0564032300493,0.02878018056238445,0.02202990775974659,0.0921872860164694
436,728.4054815889341,0.028782822001114768,0.022031859052501834,0.09297856580398388
437,728.7587497956142,0.028785537096082392,0.022033863890964678,0.09392281921045617
438,730.4164821227564,0.028785884080455227,0.022034119660043046,0.09383637628198578
439,731.4173549185986,0.02878613007903298,0.022034300881082998,0.09379793427608842
440,732.8180527144998,0.02878620240822998,0.022034354161518874,0.09364515234810789
441,734.789643252378,0.028786326186126043,0.0220344454714225,0.09343935867628662
442,735.7654592085784,0.028786545416915475,0.022034607377835715,0.09339608509432172
443,737.0529289122653,0.028786705865773376,0.02203472605444318,0.0932920723091079
444,738.5804211713738,0.02878692423386872,0.022034887794598435,0.09317977190522869
445,739.9095236740419,0.028787803807205505,0.022035539561408746,0.09333779519289026
446,740.573807447295,0.02878863531954719,0.022036155654572002,0.09356197083917384
447,741.7573355729417,0.028788748566888806,0.022036239506452206,0.0934546869082238
448,743.8950131424737,0.02878879688399787,0.02203627519979835,0.09320410433569609
449,745.3449895506119,0.028788967405888436,0.02203640096438656,0.09308633613576336
450,746.4993058994323,0.028789397528671934,0.022036717905232053,0.09310293942822777
451,747.6745636242696,0.02879059167061053,0.022037597525271013,0.09340300737833886
452,748.2427544650845,0.02879127726927125,0.022038102583702614,0.09358857744841001
453,750.6559503621243,0.028792288071956818,0.02203884856546083,0.09366709318558586
454,750.9663810666508,0.028793301484696648,0.022039596737992044,0.09400889317140251
455,752.8876215672024,0.02879336701195871,0.02203964522171763,0.09379366589041184
456,754.3223704717127,0.028793460441312962,0.022039714428737693,0.09365050482814655
457,755.8393089760378,0.028793756563103696,0.022039933834083827,0.09357446239836369
458,756.768248439951,0.028794218736486844,0.022040276143090756,0.09363447809675238
459,758.1017292464126,0.028794788546690302,0.022040697697818364,0.09368576468097031
460,758.9002382248924,0.02879516691710414,0.022040977373712484,0.0937307620027418
461,760.282366983512,0.028795221102815308,0.02204101736155692,0.09358096566895321
462,762.700033249691,0.028795387500950596,0.02204113994673496,0.09334778135780168
463,763.5930661728372,0.028796147614229526,0.022041699911883872,0.09352881854236038
464,764.3075227241802,0.028796643187648303,0.02204206508764431,0.09363077534732019
465,766.0875400998362,0.028796838473629505,0.022042209203506878,0.09348802576519509
466,767.2184721555395,0.02879714450908644,0.02204243534186312,0.09346761615317781
467,768.2814618065092,0.0287973473098457,0.022042585374411446,0.09341619898149715
468,769.6934072526244,0.028797437221636617,0.022042651967869847,0.09327943616668859
469,771.0708393136783,0.028797490024724457,0.02204269109028948,0.09313316032611926
470,772.961617565757,0.028797613699688304,0.02204278263923325,0.09295314088397318
471,774.1177446279405,0.02879813440147721,0.022043167637884137,0.093015859835455
472,775.0478470965805,0.028798945321079454,0.022043766580689416,0.09321848627353882
473,775.9997119631714,0.028799352510759876,0.022044067014743707,0.09326213124384064
474,777.2997485295925,0.02879944372398763,0.022044134240710892,0.09314160002511045
475,779.157076949189,0.02879950727914152,0.022044181064257807,0.0929443319475613
476,780.3489250041816,0.028799592848913893,0.02204424414297169,0.09283576270490429
477,782.1376643908121,0.02880027503029189,0.02204474789267184,0.09289022842134696
478,782.5979439460735,0.0288010237660375,0.022045301079158995,0.09312857532460266
